Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:35:28,156;32
19:35:28,187;34
19:35:28,219;35
19:35:28,250;37
19:35:28,281;39
19:35:28,312;41
19:35:28,344;43
19:35:28,375;46
19:35:28,406;48
19:35:28,437;51
19:35:28,469;53
19:35:28,500;56
19:35:28,531;59
19:35:28,562;62
19:35:28,594;64
19:35:28,625;67
19:35:28,656;69
19:35:28,688;71
19:35:28,719;73
19:35:28,750;74
19:35:28,781;74
19:35:28,812;74
19:35:28,844;74
19:35:28,875;72
19:35:28,906;70
19:35:28,938;67
19:35:28,969;62
19:35:29,000;57
19:35:29,031;51
19:35:29,062;44
19:35:29,094;36
19:35:29,125;27
19:35:29,156;16
19:35:29,188;5
19:35:29,219;-7
19:35:29,250;-21
19:35:29,281;-35
19:35:29,312;-50
19:35:29,344;-66
19:35:29,375;-82
19:35:29,406;-99
19:35:29,437;-117
19:35:29,469;-135
19:35:29,500;-154
19:35:29,531;-173
19:35:29,562;-192
19:35:29,594;-212
19:35:29,625;-231
19:35:29,656;-251
19:35:29,687;-270
19:35:29,719;-290
19:35:29,750;-309
19:35:29,781;-328
19:35:29,812;-346
19:35:29,844;-363
19:35:29,875;-380
19:35:29,906;-397
19:35:29,937;-412
19:35:29,969;-426
19:35:30,000;-440
19:35:30,031;-452
19:35:30,062;-462
19:35:30,094;-472
19:35:30,125;-479
19:35:30,156;-486
19:35:30,187;-491
19:35:30,219;-494
19:35:30,250;-495
19:35:30,281;-495
19:35:30,312;-494
19:35:30,344;-490
19:35:30,375;-486
19:35:30,406;-480
19:35:30,438;-472
19:35:30,469;-464
19:35:30,500;-454
19:35:30,531;-443
19:35:30,562;-432
19:35:30,594;-419
19:35:30,625;-406
19:35:30,656;-392
19:35:30,688;-378
19:35:30,719;-363
19:35:30,750;-349
19:35:30,781;-333
19:35:30,812;-318
19:35:30,844;-303
19:35:30,875;-288
19:35:30,906;-273
19:35:30,938;-258
19:35:30,969;-243
19:35:31,000;-228
19:35:31,031;-213
19:35:31,062;-199
19:35:31,094;-185
19:35:31,125;-171
19:35:31,156;-157
19:35:31,187;-143
19:35:31,219;-130
19:35:31,250;-117
19:35:31,281;-105
19:35:31,312;-92
19:35:31,344;-80
19:35:31,375;-68
19:35:31,406;-57
19:35:31,437;-46
19:35:31,469;-36
19:35:31,500;-26
19:35:31,531;-17
19:35:31,562;-8
19:35:31,594;1
19:35:31,625;8
19:35:31,656;16
19:35:31,687;22
19:35:31,719;28
19:35:31,750;33
19:35:31,781;37
19:35:31,812;41
19:35:31,844;44
19:35:31,875;46
19:35:31,906;48
19:35:31,938;48
19:35:31,969;48
19:35:32,000;48
19:35:32,031;47
19:35:32,062;45
19:35:32,094;42
19:35:32,125;40
19:35:32,156;36
19:35:32,188;33
19:35:32,219;29
19:35:32,250;26
19:35:32,281;22
19:35:32,312;18
19:35:32,344;15
19:35:32,375;12
19:35:32,406;10
19:35:32,438;8
19:35:32,469;6
19:35:32,500;5
19:35:32,531;5
19:35:32,562;6
19:35:32,594;7
19:35:32,625;9
19:35:32,656;11
19:35:32,687;14
19:35:32,719;17
19:35:32,750;20
19:35:32,781;24
19:35:32,812;28
19:35:32,844;31
19:35:32,875;35
19:35:32,906;38
19:35:32,937;41
19:35:32,969;43
19:35:33,000;45
19:35:33,031;46
19:35:33,062;47
19:35:33,094;47
19:35:33,125;47
19:35:33,156;45
19:35:33,187;44
19:35:33,219;41
19:35:33,250;39
19:35:33,281;36
19:35:33,312;33
19:35:33,344;29
19:35:33,375;26
19:35:33,406;23
19:35:33,438;20
19:35:33,469;17
19:35:33,500;15
19:35:33,531;13
19:35:33,562;12
19:35:33,594;11
19:35:33,625;11
19:35:33,656;11
19:35:33,688;12
19:35:33,719;14
19:35:33,750;15
19:35:33,781;18
19:35:33,812;20
19:35:33,844;23
19:35:33,875;27
19:35:33,906;30
19:35:33,938;33
19:35:33,969;37
19:35:34,000;40
19:35:34,031;44
19:35:34,062;47
19:35:34,094;50
19:35:34,125;53
19:35:34,156;56
19:35:34,187;59
19:35:34,219;61
19:35:34,250;63
19:35:34,281;65
19:35:34,312;67
19:35:34,344;69
19:35:34,375;71
19:35:34,406;72
19:35:34,437;74
19:35:34,469;76
19:35:34,500;78
19:35:34,531;80
19:35:34,562;82
19:35:34,594;85
19:35:34,625;88
19:35:34,656;91
19:35:34,687;94
19:35:34,719;97
19:35:34,750;100
19:35:34,781;104
19:35:34,812;108
19:35:34,844;111
19:35:34,875;115
19:35:34,906;119
19:35:34,937;122
19:35:34,969;125
19:35:35,000;128
19:35:35,031;131
19:35:35,062;133
19:35:35,094;135
19:35:35,125;136
19:35:35,156;137
19:35:35,188;138
19:35:35,219;137
19:35:35,250;137
19:35:35,281;136
19:35:35,312;134
19:35:35,344;132
19:35:35,375;130
19:35:35,406;127
19:35:35,438;124
19:35:35,469;121
19:35:35,500;118
19:35:35,531;116
19:35:35,562;113
19:35:35,594;110
19:35:35,625;108
19:35:35,656;106
19:35:35,688;105
19:35:35,719;103
19:35:35,750;103
19:35:35,781;102
19:35:35,812;102
19:35:35,844;103
19:35:35,875;104
19:35:35,906;105
19:35:35,937;106
19:35:35,969;107
19:35:36,000;109
19:35:36,031;111
19:35:36,062;112
19:35:36,094;114
19:35:36,125;115
19:35:36,156;117
19:35:36,187;118
19:35:36,219;118
19:35:36,250;118
19:35:36,281;118
19:35:36,312;118
19:35:36,344;117
19:35:36,375;116
19:35:36,406;115
19:35:36,437;114
19:35:36,469;112
19:35:36,500;110
19:35:36,531;108
19:35:36,562;106
19:35:36,594;103
19:35:36,625;101
19:35:36,656;98
19:35:36,688;96
19:35:36,719;94
19:35:36,750;91
19:35:36,781;88
19:35:36,812;86
19:35:36,844;83
19:35:36,875;80
19:35:36,906;77
19:35:36,938;73
19:35:36,969;70
19:35:37,000;66
19:35:37,031;61
19:35:37,062;56
19:35:37,094;51
19:35:37,125;45
19:35:37,156;39
19:35:37,188;33
19:35:37,219;26
19:35:37,250;19
19:35:37,281;11
19:35:37,312;4
19:35:37,344;-3
19:35:37,375;-10
19:35:37,406;-17
19:35:37,437;-24
19:35:37,469;-30
19:35:37,500;-36
19:35:37,531;-41
19:35:37,562;-45
19:35:37,594;-48
19:35:37,625;-51
19:35:37,656;-52
19:35:37,687;-53
19:35:37,719;-53
19:35:37,750;-52
19:35:37,781;-50
19:35:37,812;-47
19:35:37,844;-44
19:35:37,875;-40
19:35:37,906;-35
19:35:37,937;-30
19:35:37,969;-24
19:35:38,000;-18
19:35:38,031;-12
19:35:38,062;-5
19:35:38,094;1
19:35:38,125;8
19:35:38,156;14
19:35:38,187;21
19:35:38,219;27
19:35:38,250;34
19:35:38,281;40
19:35:38,312;47
19:35:38,344;53
19:35:38,375;60
19:35:38,406;66
19:35:38,438;73
19:35:38,469;80
19:35:38,500;86
19:35:38,531;93
19:35:38,562;101
19:35:38,594;108
19:35:38,625;116
19:35:38,656;123
19:35:38,688;131
19:35:38,719;139
19:35:38,750;148
19:35:38,781;156
19:35:38,812;164
19:35:38,844;172
19:35:38,875;180
19:35:38,906;188
19:35:38,937;196
19:35:38,969;204
19:35:39,000;211
19:35:39,031;218
19:35:39,062;224
19:35:39,094;230
19:35:39,125;235
19:35:39,156;240
19:35:39,187;244
19:35:39,219;247
19:35:39,250;249
19:35:39,281;251
19:35:39,312;252
19:35:39,344;252
19:35:39,375;251
19:35:39,406;249
19:35:39,437;246
19:35:39,469;242
19:35:39,500;238
19:35:39,531;232
19:35:39,562;226
19:35:39,594;219
19:35:39,625;212
19:35:39,656;204
19:35:39,687;196
19:35:39,719;187
19:35:39,750;178
19:35:39,781;169
19:35:39,812;160
19:35:39,844;151
19:35:39,875;142
19:35:39,906;134
19:35:39,938;126
19:35:39,969;118
19:35:40,000;111
19:35:40,031;104
19:35:40,062;98
19:35:40,094;93
19:35:40,125;88
19:35:40,156;83
19:35:40,188;79
19:35:40,219;76
19:35:40,250;73
19:35:40,281;70
19:35:40,312;67
19:35:40,344;65
19:35:40,375;63
19:35:40,406;61
19:35:40,438;58
19:35:40,469;56
19:35:40,500;54
19:35:40,531;51
19:35:40,562;48
19:35:40,594;46
19:35:40,625;43
19:35:40,656;40
19:35:40,687;37
19:35:40,719;34
19:35:40,750;32
19:35:40,781;29
19:35:40,812;27
19:35:40,844;24
19:35:40,875;23
19:35:40,906;21
19:35:40,937;20
19:35:40,969;20
19:35:41,000;20
19:35:41,031;20
19:35:41,062;21
19:35:41,094;22
19:35:41,125;24
19:35:41,156;26
19:35:41,187;29
19:35:41,219;32
19:35:41,250;35
19:35:41,281;39
19:35:41,312;42
19:35:41,344;46
19:35:41,375;49
19:35:41,406;52
19:35:41,438;56
19:35:41,469;59
19:35:41,500;62
19:35:41,531;64
19:35:41,562;66
19:35:41,594;68
19:35:41,625;70
19:35:41,656;71
19:35:41,688;72
19:35:41,719;73
19:35:41,750;74
19:35:41,781;75
19:35:41,812;75
19:35:41,844;75
19:35:41,875;76
19:35:41,906;76
19:35:41,938;76
19:35:41,969;77
19:35:42,000;77
19:35:42,031;77
19:35:42,062;78
19:35:42,094;78
19:35:42,125;79
19:35:42,156;79
19:35:42,187;80
19:35:42,219;80
19:35:42,250;80
19:35:42,281;80
19:35:42,312;80
19:35:42,344;79
19:35:42,375;79
19:35:42,406;77
19:35:42,437;76
19:35:42,469;74
19:35:42,500;72
19:35:42,531;69
19:35:42,562;66
19:35:42,594;63
19:35:42,625;59
19:35:42,656;56
19:35:42,687;52
19:35:42,719;49
19:35:42,750;45
19:35:42,781;42
19:35:42,812;39
19:35:42,844;36
19:35:42,875;34
19:35:42,906;32
19:35:42,937;30
19:35:42,969;29
19:35:43,000;29
19:35:43,031;29
19:35:43,062;30
19:35:43,094;31
19:35:43,125;33
19:35:43,156;36
19:35:43,188;38
19:35:43,219;41
19:35:43,250;45
19:35:43,281;48
19:35:43,312;52
19:35:43,344;55
19:35:43,375;59
19:35:43,406;62
19:35:43,438;66
19:35:43,469;69
19:35:43,500;72
19:35:43,531;74
19:35:43,562;77
19:35:43,594;79
19:35:43,625;80
19:35:43,656;82
19:35:43,688;83
19:35:43,719;84
19:35:43,750;84
19:35:43,781;84
19:35:43,812;84
19:35:43,844;84
19:35:43,875;84
19:35:43,906;83
19:35:43,937;82
19:35:43,969;81
19:35:44,000;80
19:35:44,031;79
19:35:44,062;78
19:35:44,094;76
19:35:44,125;74
19:35:44,156;72
19:35:44,187;70
19:35:44,219;68
19:35:44,250;65
19:35:44,281;62
19:35:44,312;59
19:35:44,344;55
19:35:44,375;52
19:35:44,406;48
19:35:44,437;43
19:35:44,469;39
19:35:44,500;34
19:35:44,531;30
19:35:44,562;25
19:35:44,594;19
19:35:44,625;14
19:35:44,656;8
19:35:44,688;3
19:35:44,719;-3
19:35:44,750;-9
19:35:44,781;-15
19:35:44,812;-21
19:35:44,844;-28
19:35:44,875;-34
19:35:44,906;-41
19:35:44,938;-48
19:35:44,969;-55
19:35:45,000;-62
19:35:45,031;-68
19:35:45,062;-75
19:35:45,094;-82
19:35:45,125;-89
19:35:45,156;-95
19:35:45,188;-102
19:35:45,219;-107
19:35:45,250;-113
19:35:45,281;-118
19:35:45,312;-122
19:35:45,344;-125
19:35:45,375;-128
19:35:45,406;-130
19:35:45,437;-131
19:35:45,469;-131
19:35:45,500;-130
19:35:45,531;-128
19:35:45,562;-125
19:35:45,594;-122
19:35:45,625;-117
19:35:45,656;-112
19:35:45,687;-105
19:35:45,719;-99
19:35:45,750;-91
19:35:45,781;-84
19:35:45,812;-75
19:35:45,844;-67
19:35:45,875;-59
19:35:45,906;-50
19:35:45,937;-42
19:35:45,969;-33
19:35:46,000;-25
19:35:46,031;-18
19:35:46,062;-10
19:35:46,094;-3
19:35:46,125;4
19:35:46,156;11
19:35:46,188;17
19:35:46,219;23
19:35:46,250;29
19:35:46,281;34
19:35:46,312;39
19:35:46,344;45
19:35:46,375;50
19:35:46,406;55
19:35:46,438;60
19:35:46,469;65
19:35:46,500;69
19:35:46,531;74
19:35:46,562;79
19:35:46,594;84
19:35:46,625;89
19:35:46,656;93
19:35:46,688;98
19:35:46,719;102
19:35:46,750;107
19:35:46,781;111
19:35:46,812;115
19:35:46,844;119
19:35:46,875;123
19:35:46,906;127
19:35:46,937;130
19:35:46,969;134
19:35:47,000;137
19:35:47,031;140
19:35:47,062;142
19:35:47,094;145
19:35:47,125;147
19:35:47,156;149
19:35:47,187;150
19:35:47,219;152
19:35:47,250;152
19:35:47,281;153
19:35:47,312;152
19:35:47,344;152
19:35:47,375;150
19:35:47,406;148
19:35:47,437;146
19:35:47,469;143
19:35:47,500;139
19:35:47,531;135
19:35:47,562;131
19:35:47,594;126
19:35:47,625;120
19:35:47,656;115
19:35:47,687;109
19:35:47,719;103
19:35:47,750;97
19:35:47,781;91
19:35:47,812;85
19:35:47,844;80
19:35:47,875;75
19:35:47,906;70
19:35:47,938;66
19:35:47,969;62
19:35:48,000;58
19:35:48,031;56
19:35:48,062;53
19:35:48,094;51
19:35:48,125;49
19:35:48,156;48
19:35:48,188;46
19:35:48,219;45
19:35:48,250;43
19:35:48,281;41
19:35:48,312;40
19:35:48,344;37
19:35:48,375;35
19:35:48,406;32
19:35:48,438;29
19:35:48,469;25
19:35:48,500;20
19:35:48,531;16
19:35:48,562;11
19:35:48,594;6
19:35:48,625;1
19:35:48,656;-5
19:35:48,687;-10
19:35:48,719;-15
19:35:48,750;-19
19:35:48,781;-23
19:35:48,812;-27
19:35:48,844;-30
19:35:48,875;-33
19:35:48,906;-34
19:35:48,937;-35
19:35:48,969;-35
19:35:49,000;-35
19:35:49,031;-33
19:35:49,062;-31
19:35:49,094;-29
19:35:49,125;-25
19:35:49,156;-22
19:35:49,187;-18
19:35:49,219;-14
19:35:49,250;-10
19:35:49,281;-5
19:35:49,312;-1
19:35:49,344;3
19:35:49,375;7
19:35:49,406;11
19:35:49,438;14
19:35:49,469;17
19:35:49,500;20
19:35:49,531;23
19:35:49,562;25
19:35:49,594;27
19:35:49,625;29
19:35:49,656;31
19:35:49,688;33
19:35:49,719;34
19:35:49,750;36
19:35:49,781;38
19:35:49,812;40
19:35:49,844;42
19:35:49,875;44
19:35:49,906;46
19:35:49,938;48
19:35:49,969;51
19:35:50,000;53
19:35:50,031;56
19:35:50,062;59
19:35:50,094;62
19:35:50,125;64
19:35:50,156;67
19:35:50,187;70
19:35:50,219;72
19:35:50,250;75
19:35:50,281;77
19:35:50,312;79
19:35:50,344;81
19:35:50,375;82
19:35:50,406;83
19:35:50,437;84
19:35:50,469;85
19:35:50,500;85
19:35:50,531;85
19:35:50,562;85
19:35:50,594;85
19:35:50,625;85
19:35:50,656;85
19:35:50,687;84
19:35:50,719;84
19:35:50,750;84
19:35:50,781;83
19:35:50,812;82
19:35:50,844;82
19:35:50,875;81
19:35:50,906;80
19:35:50,937;78
19:35:50,969;77
19:35:51,000;75
19:35:51,031;73
19:35:51,062;70
19:35:51,094;67
19:35:51,125;63
19:35:51,156;59
19:35:51,188;54
19:35:51,219;49
19:35:51,250;43
19:35:51,281;36
19:35:51,312;29
19:35:51,344;22
19:35:51,375;14
19:35:51,406;6
19:35:51,438;-3
19:35:51,469;-11
19:35:51,500;-20
19:35:51,531;-28
19:35:51,562;-36
19:35:51,594;-43
19:35:51,625;-50
19:35:51,656;-57
19:35:51,687;-62
19:35:51,719;-67
19:35:51,750;-71
19:35:51,781;-74
19:35:51,812;-76
19:35:51,844;-77
19:35:51,875;-78
19:35:51,906;-77
19:35:51,937;-76
19:35:51,969;-74
19:35:52,000;-72
19:35:52,031;-68
19:35:52,062;-65
19:35:52,094;-61
19:35:52,125;-56
19:35:52,156;-51
19:35:52,187;-46
19:35:52,219;-40
19:35:52,250;-35
19:35:52,281;-29
19:35:52,312;-23
19:35:52,344;-16
19:35:52,375;-10
19:35:52,406;-3
19:35:52,437;3
19:35:52,469;10
19:35:52,500;18
19:35:52,531;25
19:35:52,562;32
19:35:52,594;40
19:35:52,625;48
19:35:52,656;56
19:35:52,688;63
19:35:52,719;71
19:35:52,750;79
19:35:52,781;87
19:35:52,812;94
19:35:52,844;102
19:35:52,875;109
19:35:52,906;115
19:35:52,938;122
19:35:52,969;128
19:35:53,000;133
19:35:53,031;138
19:35:53,062;143
19:35:53,094;147
19:35:53,125;151
19:35:53,156;154
19:35:53,188;157
19:35:53,219;160
19:35:53,250;162
19:35:53,281;164
19:35:53,312;166
19:35:53,344;167
19:35:53,375;168
19:35:53,406;169
19:35:53,437;169
19:35:53,469;169
19:35:53,500;169
19:35:53,531;168
19:35:53,562;167
19:35:53,594;165
19:35:53,625;163
19:35:53,656;160
19:35:53,687;156
19:35:53,719;152
19:35:53,750;147
19:35:53,781;141
19:35:53,812;135
19:35:53,844;128
19:35:53,875;121
19:35:53,906;113
19:35:53,937;105
19:35:53,969;97
19:35:54,000;88
19:35:54,031;80
19:35:54,062;71
19:35:54,094;63
19:35:54,125;55
19:35:54,156;48
19:35:54,188;41
19:35:54,219;35
19:35:54,250;30
19:35:54,281;25
19:35:54,312;21
19:35:54,344;18
19:35:54,375;15
19:35:54,406;13
19:35:54,438;12
19:35:54,469;11
19:35:54,500;10
19:35:54,531;10
19:35:54,562;10
19:35:54,594;10
19:35:54,625;10
19:35:54,656;9
19:35:54,688;9
19:35:54,719;8
19:35:54,750;6
19:35:54,781;4
19:35:54,812;2
19:35:54,844;-1
19:35:54,875;-4
19:35:54,906;-7
19:35:54,937;-11
19:35:54,969;-15
19:35:55,000;-20
19:35:55,031;-24
19:35:55,062;-28
19:35:55,094;-32
19:35:55,125;-36
19:35:55,156;-40
19:35:55,187;-43
19:35:55,219;-46
19:35:55,250;-48
19:35:55,281;-50
19:35:55,312;-51
19:35:55,344;-51
19:35:55,375;-51
19:35:55,406;-50
19:35:55,437;-49
19:35:55,469;-47
19:35:55,500;-45
19:35:55,531;-43
19:35:55,562;-40
19:35:55,594;-37
19:35:55,625;-34
19:35:55,656;-31
19:35:55,687;-28
19:35:55,719;-25
19:35:55,750;-22
19:35:55,781;-19
19:35:55,812;-17
19:35:55,844;-14
19:35:55,875;-12
19:35:55,906;-10
19:35:55,938;-9
19:35:55,969;-7
19:35:56,000;-6
19:35:56,031;-5
19:35:56,062;-4
19:35:56,094;-3
19:35:56,125;-2
19:35:56,156;-1
19:35:56,188;0
19:35:56,219;2
19:35:56,250;3
19:35:56,281;5
19:35:56,312;7
19:35:56,344;9
19:35:56,375;12
19:35:56,406;14
19:35:56,437;17
19:35:56,469;20
19:35:56,500;24
19:35:56,531;27
19:35:56,562;30
19:35:56,594;34
19:35:56,625;37
19:35:56,656;40
19:35:56,687;43
19:35:56,719;46
19:35:56,750;49
19:35:56,781;51
19:35:56,812;53
19:35:56,844;55
19:35:56,875;57
19:35:56,906;58
19:35:56,937;59
19:35:56,969;59
19:35:57,000;60
19:35:57,031;60
19:35:57,062;60
19:35:57,094;60
19:35:57,125;61
19:35:57,156;61
19:35:57,187;61
19:35:57,219;61
19:35:57,250;62
19:35:57,281;63
19:35:57,312;63
19:35:57,344;64
19:35:57,375;65
19:35:57,406;67
19:35:57,438;68
19:35:57,469;69
19:35:57,500;70
19:35:57,531;71
19:35:57,562;72
19:35:57,594;73
19:35:57,625;74
19:35:57,656;74
19:35:57,688;74
19:35:57,719;74
19:35:57,750;73
19:35:57,781;72
19:35:57,812;70
19:35:57,844;68
19:35:57,875;66
19:35:57,906;63
19:35:57,938;61
19:35:57,969;58
19:35:58,000;55
19:35:58,031;52
19:35:58,062;49
19:35:58,094;46
19:35:58,125;44
19:35:58,156;41
19:35:58,187;39
19:35:58,219;38
19:35:58,250;37
19:35:58,281;36
19:35:58,312;36
19:35:58,344;36
19:35:58,375;36
19:35:58,406;37
19:35:58,437;38
19:35:58,469;39
19:35:58,500;40
19:35:58,531;41
19:35:58,562;42
19:35:58,594;42
19:35:58,625;43
19:35:58,656;42
19:35:58,687;42
19:35:58,719;41
19:35:58,750;39
19:35:58,781;37
19:35:58,812;34
19:35:58,844;30
19:35:58,875;26
19:35:58,906;21
19:35:58,938;15
19:35:58,969;9
19:35:59,000;3
19:35:59,031;-4
19:35:59,062;-10
19:35:59,094;-17
19:35:59,125;-25
19:35:59,156;-32
19:35:59,188;-39
19:35:59,219;-46
19:35:59,250;-52
19:35:59,281;-59
19:35:59,312;-65
19:35:59,344;-71
19:35:59,375;-76
19:35:59,406;-81
19:35:59,438;-86
19:35:59,469;-90
19:35:59,500;-94
19:35:59,531;-97
19:35:59,562;-100
19:35:59,594;-102
19:35:59,625;-104
19:35:59,656;-106
19:35:59,687;-107
19:35:59,719;-107
19:35:59,750;-108
19:35:59,781;-107
19:35:59,812;-106
19:35:59,844;-105
19:35:59,875;-102
19:35:59,906;-100
19:35:59,937;-96
19:35:59,969;-93
19:36:00,000;-88
19:36:00,031;-83
19:36:00,062;-78
19:36:00,094;-72
19:36:00,125;-65
19:36:00,156;-58
19:36:00,187;-51
19:36:00,219;-43
19:36:00,250;-35
19:36:00,281;-26
19:36:00,312;-18
19:36:00,344;-8
19:36:00,375;1
19:36:00,406;10
19:36:00,437;20
19:36:00,469;30
19:36:00,500;40
19:36:00,531;50
19:36:00,562;60
19:36:00,594;70
19:36:00,625;80
19:36:00,656;90
19:36:00,688;101
19:36:00,719;111
19:36:00,750;121
19:36:00,781;131
19:36:00,812;141
19:36:00,844;151
19:36:00,875;161
19:36:00,906;170
19:36:00,938;180
19:36:00,969;188
19:36:01,000;197
19:36:01,031;205
19:36:01,062;212
19:36:01,094;218
19:36:01,125;224
19:36:01,156;229
19:36:01,188;233
19:36:01,219;236
19:36:01,250;238
19:36:01,281;239
19:36:01,312;239
19:36:01,344;237
19:36:01,375;235
19:36:01,406;232
19:36:01,437;228
19:36:01,469;223
19:36:01,500;217
19:36:01,531;210
19:36:01,562;203
19:36:01,594;194
19:36:01,625;185
19:36:01,656;176
19:36:01,687;165
19:36:01,719;155
19:36:01,750;144
19:36:01,781;133
19:36:01,812;122
19:36:01,844;110
